code;url;source;title;description
301;http://megaves.su/;;301 Moved Permanently;
200;https://www.megaves.su/;http://megaves.su/;|Завод весового оборудования || Динамометры и весы – Мегавес || 8-800-333-31-02 в СПб|;Завод «Мегавес» - ведущий разработчик и изготовитель крановых весов и динамометров в России. Предлагаем надежные динамометры и весы по приемлемым ценам! Тел: 8-800-333-31-02.
200;https://www.megaves.su/o-kompanii;https://www.megaves.su/;О компании - Мегавес в СПб;Компании «Мегавес» разрабатывает и производит крановое измерительное оборудование, отвечающее требованиям современного рынка, с 2001 года. Телефон: 8 800 333-31-02.
200;https://www.megaves.su/dinamometry/;https://www.megaves.su/;Электронные динамометры купить - Завод МегаВес в СПб;Завод «Мегавес» предлагает высококачественные многофункциональные электронные динамометры в Москве и СПб. Тел: 8-800-333-31-02.
200;https://www.megaves.su/dostavka-i-oplata;https://www.megaves.su/;Доставка и оплата - завод Мегавес в СПб;Информация о способах оплаты и доставки оборудования компании «Мегавес». Отгрузка  с производства в течение 3-х дней, доставка по России - бесплатно!
301;https://www.megaves.su/wishlist/;https://www.megaves.su/;;
200;https://www.megaves.su/dinamometry/standart/;https://www.megaves.su/;Динамометры с дисплеем на пульте - Мегавес в СПб;Ведущий разработчик и производитель кранового оборудования в России - Мегавес поставляет высококачественные динамометры с дисплеем на дистанционном пульте.
200;https://www.megaves.su/kranovye-vesy/android-pult/;https://www.megaves.su/;Крановые весы с пультом на ОС Android - Мегавес в СПб;Ведущий разработчик и производитель кранового оборудования в России - Мегавес поставляет крановые весы с мобильным пультом на основе ОС Android.
200;https://www.megaves.su/stropy/kanatnye/;https://www.megaves.su/;Канатные стропы ГОСТ 25573 82, 1СК, 4СК, УСК1 на выгодных условиях в СПб;В ассортименте представлены канатные стропы любой грузоподъемности по оптимальной цене! Возможны индивидуальные скидки и условия доставки.
200;https://www.megaves.su/kranovye-vesy/displey-na-korpuse/;https://www.megaves.su/;Крановые весы с дисплеем на корпусе - Мегавес в СПб;Ведущий разработчик и производитель кранового оборудования в России - Мегавес поставляет крановые весы с дисплеем на корпусе.
